17:44:56.358 [main] INFO  c.C.C.ClothingappApplication - Starting ClothingappApplication using Java 17.0.8.1 with PID 12640 (C:\Users\ASUS\Downloads\Clothingapp\Clothingapp\target\classes started by ASUS in C:\Users\ASUS\Downloads\Clothingapp\Clothingapp)
17:44:56.359 [main] INFO  c.C.C.ClothingappApplication - No active profile set, falling back to 1 default profile: "default"
17:44:56.682 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:44:56.711 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 1 JPA repository interface.
17:44:56.980 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
17:44:56.986 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8081"]
17:44:56.987 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:44:56.987 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
17:44:57.026 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:44:57.026 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 643 ms
17:44:57.099 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:44:57.308 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@74c121d4
17:44:57.309 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:44:57.337 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:44:57.387 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
17:44:57.415 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
17:44:57.577 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
17:44:57.619 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
17:44:57.621 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
17:44:58.095 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
17:44:58.123 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:44:58.249 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:44:58.418 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8081"]
17:44:58.430 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
17:44:58.434 [main] INFO  c.C.C.ClothingappApplication - Started ClothingappApplication in 2.277 seconds (process running for 2.808)
17:45:14.826 [http-nio-0.0.0.0-8081-exec-5] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:45:14.826 [http-nio-0.0.0.0-8081-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:45:14.827 [http-nio-0.0.0.0-8081-exec-5] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
17:45:57.674 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:45:57.676 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:45:57.680 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:51:25.376 [main] INFO  c.C.C.ClothingappApplication - Starting ClothingappApplication using Java 17.0.8.1 with PID 15132 (C:\Users\ASUS\Downloads\Clothingapp\Clothingapp\target\classes started by ASUS in C:\Users\ASUS\Downloads\Clothingapp\Clothingapp)
17:51:25.378 [main] INFO  c.C.C.ClothingappApplication - No active profile set, falling back to 1 default profile: "default"
17:51:25.706 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
